file,func,line,C1,C2,C3,C4,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,complexity_score,vulnerability_score
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateDayInMonth,2316,8,0,0,0,1,2,0,0,0,0,1,0,0,0,0,8,4
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateDayOfWeekInMonth,2364,3,0,0,0,1,2,0,0,0,0,1,0,0,0,0,3,4
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateDayInWeek,2413,242,0,0,0,1,4,0,0,0,0,1,0,0,0,0,242,6
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateDayName,2465,2,0,0,0,1,0,0,0,0,0,1,0,1,1,1,2,5
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateDayAbbreviation,2505,2,0,0,0,1,0,0,0,0,0,1,0,1,1,1,2,5
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateHourInDay,2543,3,0,0,0,1,2,0,0,0,0,1,0,0,0,0,3,4
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateMinuteInHour,2589,3,0,0,0,1,2,0,0,0,0,1,0,0,0,0,3,4
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateSecondInMinute,2637,3,0,0,0,1,2,0,0,0,0,1,0,0,0,0,3,4
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateAdd,2689,3,0,0,0,2,5,0,0,0,0,1,0,0,0,0,3,8
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateAddDuration,2747,1,0,0,0,2,5,0,0,0,0,1,0,0,0,0,1,8
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateSumFunction,2799,1,0,0,0,2,7,0,0,0,0,1,0,1,2,2,1,15
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateSeconds,2909,7,0,0,0,1,8,0,0,0,0,1,0,1,0,3,7,14
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateDifference,2997,6,0,0,0,2,5,0,0,0,0,1,0,1,0,4,6,13
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateDuration,3057,1,0,0,0,1,5,0,0,0,0,1,0,0,1,0,1,8
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateDateFunction,3123,3,0,0,0,2,4,0,0,0,0,1,0,2,0,1,3,10
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateTimeFunction,3162,3,0,0,0,2,4,0,0,0,0,1,0,2,0,1,3,10
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateYearFunction,3201,3,0,0,0,2,5,0,0,0,0,1,0,2,0,1,3,11
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateLeapYearFunction,3235,3,0,0,0,2,3,0,0,0,0,1,0,2,0,1,3,9
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateMonthInYearFunction,3296,4,0,0,0,2,5,0,0,0,0,1,0,2,0,1,4,11
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateMonthNameFunction,3306,3,0,0,0,2,6,0,0,0,0,1,0,2,1,1,3,13
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateMonthAbbreviationFunction,3343,3,0,0,0,2,6,0,0,0,0,1,0,2,1,1,3,13
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateWeekInYearFunction,3379,12,0,0,0,2,5,0,0,0,0,1,0,2,0,1,12,11
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateWeekInMonthFunction,3388,12,0,0,0,2,5,0,0,0,0,1,0,2,0,1,12,11
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateDayInYearFunction,3397,12,0,0,0,2,5,0,0,0,0,1,0,2,0,1,12,11
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateDayInMonthFunction,3406,12,0,0,0,2,5,0,0,0,0,1,0,2,0,1,12,11
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateDayOfWeekInMonthFunction,3415,12,0,0,0,2,5,0,0,0,0,1,0,2,0,1,12,11
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateDayInWeekFunction,3424,12,0,0,0,2,5,0,0,0,0,1,0,2,0,1,12,11
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateDayNameFunction,3434,3,0,0,0,2,6,0,0,0,0,1,0,2,1,1,3,13
/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateDayAbbreviationFunction,3471,3,0,0,0,2,6,0,0,0,0,1,0,2,1,1,3,13
