bin_id,bin_range,rank_in_bin,file,func,line,complexity_score,vulnerability_score
0,1-1,55,/home/arpan/Documents/CBMC/libxslt/libxslt/attrvt.c,xsltFreeAttrVT,95,1,8
0,1-1,56,/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltPreComputeExtModuleElement,1556,1,8
0,1-1,57,/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltExtShutdownTest,2155,1,8
0,1-1,58,/home/arpan/Documents/CBMC/libxslt/libxslt/functions.c,xsltCurrentFunction,952,1,8
0,1-1,59,/home/arpan/Documents/CBMC/libxslt/libxslt/keys.c,xsltFreeKeyTable,154,1,8
0,1-1,60,/home/arpan/Documents/CBMC/libxslt/libxslt/pattern.c,xsltCompilePattern,2048,1,8
0,1-1,61,/home/arpan/Documents/CBMC/libxslt/libxslt/preproc.c,xsltCommentComp,1101,1,8
0,1-1,62,/home/arpan/Documents/CBMC/libxslt/libxslt/preproc.c,xsltProcessingInstructionComp,1131,1,8
0,1-1,63,/home/arpan/Documents/CBMC/libxslt/libxslt/preproc.c,xsltApplyImportsComp,1522,1,8
0,1-1,64,/home/arpan/Documents/CBMC/libxslt/libxslt/preproc.c,xsltChooseComp,1643,1,8
0,1-1,65,/home/arpan/Documents/CBMC/libxslt/python/libxslt.c,libxslt_xsltRegisterExtModuleElement,350,1,8
0,1-1,66,/home/arpan/Documents/CBMC/libxslt/libxslt/attributes.c,xsltNewAttrElem,109,1,7
0,1-1,67,/home/arpan/Documents/CBMC/libxslt/libxslt/attributes.c,xsltAttribute,1021,1,7
0,1-1,68,/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltFreeExtDef,132,1,7
0,1-1,69,/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltNewElemPreComp,1500,1,7
0,1-1,70,/home/arpan/Documents/CBMC/libxslt/libxslt/keys.c,xsltFreeKeys,199,1,7
0,1-1,71,/home/arpan/Documents/CBMC/libxslt/libxslt/transform.c,templPop,154,1,7
0,1-1,72,/home/arpan/Documents/CBMC/libxslt/libxslt/transform.c,profPop,277,1,7
0,1-1,73,/home/arpan/Documents/CBMC/libxslt/libxslt/transform.c,xsltApplyImports,4612,1,7
0,1-1,74,/home/arpan/Documents/CBMC/libxslt/libxslt/variables.c,xsltParseGlobalVariable,1989,1,7
0,1-1,75,/home/arpan/Documents/CBMC/libxslt/libxslt/variables.c,xsltParseGlobalParam,2052,1,7
0,1-1,76,/home/arpan/Documents/CBMC/libxslt/libxslt/variables.c,xsltParseStylesheetVariable,2114,1,7
0,1-1,77,/home/arpan/Documents/CBMC/libxslt/libxslt/variables.c,xsltParseStylesheetParam,2156,1,7
0,1-1,78,/home/arpan/Documents/CBMC/libxslt/libxslt/xslt.c,exclPrefixPop,198,1,7
0,1-1,79,/home/arpan/Documents/CBMC/libxslt/python/libxslt.c,libxslt_xsltCompareTransformContextsEqual,115,1,7
0,1-1,80,/home/arpan/Documents/CBMC/libxslt/python/libxslt.c,libxslt_xsltCompareStylesheetsEqual,153,1,7
0,1-1,81,/home/arpan/Documents/CBMC/libxslt/python/libxslt.c,libxslt_xsltElementTransformCallback,297,1,7
0,1-1,82,/home/arpan/Documents/CBMC/libxslt/python/libxslt.c,libxslt_xsltPythonExtModuleStyleShutdown,1001,1,7
0,1-1,83,/home/arpan/Documents/CBMC/libxslt/python/libxslt.c,libxslt_xsltPythonExtModuleCtxtShutdown,1063,1,7
0,1-1,84,/home/arpan/Documents/CBMC/libxslt/python/libxslt.c,libxslt_xsltRegisterExtensionClass,1095,1,7
0,1-1,85,/home/arpan/Documents/CBMC/libxslt/python/libxslt.c,initlibxsltmod,1181,1,7
0,1-1,86,/home/arpan/Documents/CBMC/libxslt/xsltproc/xsltproc.c,xsltSubtreeCheck,337,1,7
0,1-1,87,/home/arpan/Documents/CBMC/libxslt/libexslt/functions.c,exsltFuncNewFunctionData,235,1,6
0,1-1,88,/home/arpan/Documents/CBMC/libxslt/libxslt/documents.c,xsltNewStyleDocument,183,1,6
0,1-1,89,/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltNewExtModule,173,1,6
0,1-1,90,/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltUnregisterExtModule,1317,1,6
0,1-1,91,/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltUnregisterExtModuleFunction,1456,1,6
0,1-1,92,/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltUnregisterExtModuleElement,1779,1,6
0,1-1,93,/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltUnregisterExtModuleTopLevel,1891,1,6
0,1-1,94,/home/arpan/Documents/CBMC/libxslt/libxslt/pattern.c,xsltNewParserContext,252,1,6
0,1-1,95,/home/arpan/Documents/CBMC/libxslt/libxslt/pattern.c,xsltFreeParserContext,274,1,6
0,1-1,96,/home/arpan/Documents/CBMC/libxslt/libxslt/templates.c,xsltEvalStaticAttrValueTemplate,435,1,6
0,1-1,97,/home/arpan/Documents/CBMC/libxslt/libxslt/transform.c,xsltCopyTree,1707,1,6
0,1-1,98,/home/arpan/Documents/CBMC/libxslt/libxslt/transform.c,xsltRunStylesheet,6491,1,6
0,1-1,99,/home/arpan/Documents/CBMC/libxslt/libxslt/xsltlocale.c,xsltLocaleStrcmp,434,1,6
0,1-1,100,/home/arpan/Documents/CBMC/libxslt/libxslt/xsltutils.c,xslAddCall,2464,1,6
0,1-1,101,/home/arpan/Documents/CBMC/libxslt/python/libxslt.c,libxslt_xsltRegisterExtModuleFunction,463,1,6
0,1-1,102,/home/arpan/Documents/CBMC/libxslt/python/libxslt.c,libxslt_xsltSaveResultToString,810,1,6
0,1-1,103,/home/arpan/Documents/CBMC/libxslt/libexslt/date.c,exsltDateFreeDate,683,1,5
0,1-1,104,/home/arpan/Documents/CBMC/libxslt/libxslt/documents.c,xsltDocDefaultLoaderFunc,61,1,5
0,1-1,105,/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltFreeExtModule,200,1,5
0,1-1,106,/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltFreeExtData,241,1,5
0,1-1,107,/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltFreeExtElement,285,1,5
0,1-1,108,/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltFreeExts,479,1,5
0,1-1,109,/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltInitElemPreComp,1533,1,5
0,1-1,110,/home/arpan/Documents/CBMC/libxslt/libxslt/extensions.c,xsltDebugDumpExtensions,2325,1,5
0,1-1,111,/home/arpan/Documents/CBMC/libxslt/libxslt/extra.c,xsltFunctionNodeSet,131,1,5
0,1-1,112,/home/arpan/Documents/CBMC/libxslt/libxslt/keys.c,xsltFreeDocumentKeys,930,1,5
0,1-1,113,/home/arpan/Documents/CBMC/libxslt/libxslt/namespaces.c,xsltGetPlainNamespace,707,1,5
0,1-1,114,/home/arpan/Documents/CBMC/libxslt/libxslt/numbers.c,xsltUTF8Size,80,1,5
0,1-1,115,/home/arpan/Documents/CBMC/libxslt/libxslt/pattern.c,xsltNewCompMatch,144,1,5
0,1-1,116,/home/arpan/Documents/CBMC/libxslt/libxslt/security.c,xsltNewSecurityPrefs,89,1,5
0,1-1,117,/home/arpan/Documents/CBMC/libxslt/libxslt/security.c,xsltFreeSecurityPrefs,111,1,5
0,1-1,118,/home/arpan/Documents/CBMC/libxslt/libxslt/templates.c,xsltEvalXPathPredicate,57,1,5
0,1-1,119,/home/arpan/Documents/CBMC/libxslt/libxslt/transform.c,xsltGetHTMLIDs,5801,1,5
0,1-1,120,/home/arpan/Documents/CBMC/libxslt/libxslt/variables.c,xsltCopyStackElem,510,1,5
0,1-1,121,/home/arpan/Documents/CBMC/libxslt/libxslt/variables.c,xsltAddStackElemList,777,1,5
0,1-1,122,/home/arpan/Documents/CBMC/libxslt/libxslt/xslt.c,xsltNewDecimalFormat,278,1,5
0,1-1,123,/home/arpan/Documents/CBMC/libxslt/libxslt/xsltutils.c,xsltSetCtxtParseOptions,1416,1,5
0,1-1,124,/home/arpan/Documents/CBMC/libxslt/python/libxslt.c,libxslt_xsltPythonExtModuleStyleInit,972,1,5
